Identificador;Codigo de Lotacao;Registro a Vincular;Unidade Encontrada;Conta Vinculada
BAB 091003798;000035.000004.000004.000007.000000.000000;False;False;False
8.793.583.018-20;000035.000004.000004.000009.000000.000000;False;False;False
BPC228202735;000035.000004.000004.000009.000000.000000;False;False;False
3.365.801.018-09;000035.000003.000000.000000.000000.000000;False;False;False
ARN 225060811;000035.000003.000000.000000.000000.000000;False;False;False
3.365.802.018-07;000035.000003.000000.000000.000000.000000;False;False;False
ARN 225060807;000035.000003.000000.000000.000000.000000;False;False;False
7.231.118.018-00;000087.000002.000003.000001.000000.000000;False;False;False
7.020.241.018-73;000087.000002.000003.000001.000000.000000;False;False;False
3.734.627.018-20;000087.000002.000003.000001.000000.000000;False;False;False
2.968.037.018-45;000087.000002.000003.000001.000000.000000;False;False;False
2.968.033.018-83;000087.000002.000003.000001.000000.000000;False;False;False
;000087.000002.000003.000001.000000.000000;True;True;False
2.968.045.018-46;000087.000002.000004.000004.000000.000000;False;False;False
4.117.636.018-69;000087.000002.000004.000012.000000.000000;False;False;False
2.968.295.018-04;000087.000002.000004.000011.000000.000000;False;False;False
2.968.293.018-10;000087.000002.000004.000007.000000.000000;False;False;False
2.967.829.018-65;000087.000002.000004.000014.000000.000000;False;False;False
3011756713;000087.000000.000000.000000.000000.000000;True;True;False
3011756710;000087.000000.000000.000000.000000.000000;True;True;False
3011756257;000087.000000.000000.000000.000000.000000;True;True;False
3011756256;000087.000000.000000.000000.000000.000000;True;True;False
3003570709;000087.000000.000000.000000.000000.000000;False;False;False
3011422489;000087.000000.000000.000000.000000.000000;True;True;False
3011756086;000087.000000.000000.000000.000000.000000;True;True;False
3011756080;000087.000000.000000.000000.000000.000000;True;True;False
3011756059;000087.000000.000000.000000.000000.000000;True;True;False
3011756054;000087.000000.000000.000000.000000.000000;True;True;False
3011756052;000087.000000.000000.000000.000000.000000;True;True;False
3011755827;000087.000000.000000.000000.000000.000000;True;True;False
3011755855;000087.000000.000000.000000.000000.000000;True;True;False
3011755823;000087.000000.000000.000000.000000.000000;True;True;False
3011755820;000087.000000.000000.000000.000000.000000;True;True;False
3011755806;000087.000000.000000.000000.000000.000000;True;True;False
3011755788;000087.000000.000000.000000.000000.000000;True;True;False
3011755757;000087.000000.000000.000000.000000.000000;False;False;False
3011755783;000087.000000.000000.000000.000000.000000;True;True;False
3011755752;000087.000000.000000.000000.000000.000000;True;True;False
3011755711;000087.000000.000000.000000.000000.000000;True;True;False
3011755676;000087.000000.000000.000000.000000.000000;True;True;False
3011755674;000087.000000.000000.000000.000000.000000;True;True;False
3011755459;000087.000000.000000.000000.000000.000000;True;True;False
3011755451;000087.000000.000000.000000.000000.000000;True;True;False
3011755418;000087.000000.000000.000000.000000.000000;False;False;False
3011755362;000087.000000.000000.000000.000000.000000;True;True;False
3011755349;000087.000000.000000.000000.000000.000000;True;True;False
3011755341;000087.000000.000000.000000.000000.000000;True;True;False
3011755315;000087.000000.000000.000000.000000.000000;True;True;False
3011755311;000087.000000.000000.000000.000000.000000;True;True;False
3011755292;000087.000000.000000.000000.000000.000000;True;True;False
3011755277;000087.000000.000000.000000.000000.000000;True;True;False
3011755271;000087.000000.000000.000000.000000.000000;True;True;False
3011755158;000087.000000.000000.000000.000000.000000;True;True;False
3011755156;000087.000000.000000.000000.000000.000000;False;False;False
3011755153;000087.000000.000000.000000.000000.000000;False;False;False
3011755117;000087.000000.000000.000000.000000.000000;False;False;False
3011755115;000087.000000.000000.000000.000000.000000;True;True;False
3011755057;000087.000000.000000.000000.000000.000000;True;True;False
3011755036;000087.000000.000000.000000.000000.000000;False;False;False
3011755012;000087.000000.000000.000000.000000.000000;False;False;False
3011754968;000087.000000.000000.000000.000000.000000;True;True;False
3011754966;000087.000000.000000.000000.000000.000000;False;False;False
3011754961;000087.000000.000000.000000.000000.000000;False;False;False
3011754928;000087.000000.000000.000000.000000.000000;True;True;False
3011753362;000087.000000.000000.000000.000000.000000;False;False;False
3011753307;000087.000000.000000.000000.000000.000000;False;False;False
3011753304;000087.000000.000000.000000.000000.000000;False;False;False
3011753269;000087.000000.000000.000000.000000.000000;False;False;False
3011753267;000087.000000.000000.000000.000000.000000;False;False;False
3011753264;000087.000000.000000.000000.000000.000000;False;False;False
3011753261;000087.000000.000000.000000.000000.000000;False;False;False
3011753255;000087.000000.000000.000000.000000.000000;False;False;False
3011753252;000087.000000.000000.000000.000000.000000;False;False;False
3011753217;000087.000000.000000.000000.000000.000000;False;False;False
3011753233;000087.000000.000000.000000.000000.000000;False;False;False
3011752825;000087.000000.000000.000000.000000.000000;False;False;False
6.054.522.018-00;000081.000000.000000.000000.000000.000000;False;False;False
6.808.303.018-24;000081.000000.000000.000000.000000.000000;False;False;False
6.641.239.018-21;000081.000000.000000.000000.000000.000000;False;False;False
GPC239002749;000081.000000.000000.000000.000000.000000;False;False;False
GPA190005651;000081.000000.000000.000000.000000.000000;False;False;False
GPA190008150;000081.000000.000000.000000.000000.000000;False;False;False
Funciona dentro do Centro Cultural Bairro das Indústrias;000095.000000.000015.000064.000001.000000;False;False;False
Funciona entro da UFMG;000095.000000.000016.000055.000001.000000;False;False;False
3003303230;000095.000000.000015.000048.000001.000000;False;False;False
Funciona dentro do CS Francisco Gomes Barbosa;000095.000000.000015.000050.000010.000000;False;False;False
Funciona dentro da Quadra Poliesportiva Lindeia;000095.000000.000015.000055.000001.000000;False;False;False
Funciona dentro do Centro Esportivo Milionários;000095.000000.000015.000056.000001.000000;False;False;False
Funciona dentro do Parque Ecológico Roberto Burle Marx;000095.000000.000015.000045.000001.000000;False;False;False
Funciona dentro do CRAS Petrópolis;000095.000000.000015.000051.000001.000000;False;False;False
Funciona dentro da Faculdade Arnaldo;000095.000000.000015.000057.000001.000000;False;False;False
3011578092;000095.000000.000015.000053.000001.000000;False;False;False
Funciona dentro do Complexo Esportivo José Caligario de Cristo;000095.000000.000015.000060.000001.000000;False;False;False
Funciona dentro do Poliesportivo Vale do Jatobá;000095.000000.000015.000061.000001.000000;False;False;False
Funciona dentro do Parque Ecológico Vila Pinho;000095.000000.000015.000062.000001.000000;False;False;False
Funciona dentro Centro Cultural Vila Santa Rita;000095.000000.000015.000054.000001.000000;False;False;False
3007068825;000095.000000.000015.000025.000000.000000;False;False;False
3003303239;000095.000000.000015.000024.000000.000000;False;False;False
3006679390;000095.000000.000015.000034.000000.000000;False;False;False
3006539253;000095.000000.000019.000048.000001.000000;False;False;False
3003303241;000095.000000.000015.000020.000000.000000;False;False;False
3002682211;000095.000000.000015.000065.000000.000000;False;False;False
3005444831;000095.000000.000015.000065.000000.000000;False;False;False
3005444830;000095.000000.000015.000065.000000.000000;False;False;False
3010257340;000095.000000.000021.000039.000001.000000;False;False;False
3013538389;000095.000000.000015.000045.000000.000000;False;False;False
Funciona no CRAS Paulo VI;000095.000000.000018.000043.000001.000000;False;False;False
Funciona dentro do CENTRO DE REFERÊNCIA DA PESSOA IDOSA;000095.000000.000019.000056.000001.000000;False;False;False
3011573576;000095.000000.000015.000046.000000.000000;False;False;False
3010201020;000095.000000.000018.000044.000001.000000;False;False;False
3014337996;000095.000000.000015.000047.000000.000000;False;False;False
3015449776;000095.000000.000015.000048.000000.000000;True;False;False
3007753292;000095.000000.000020.000042.000001.000000;False;False;False
3003303710;000095.000000.000018.000047.000001.000000;False;False;False
3004277274;000095.000000.000015.000064.000000.000000;False;False;False
Espaço Cedido;000095.000000.000016.000060.000010.000000;False;False;False
3001044432;000095.000000.000016.000062.000001.000000;False;False;False
Espaço cedido, fica dentro do CRAS;000095.000000.000016.000063.000001.000000;False;False;False
Funciona no CRAS;000095.000000.000016.000064.000001.000000;False;False;False
3005793544;000095.000000.000016.000046.000000.000000;False;False;False
Funciona dentro do CRAS;000095.000000.000019.000060.000001.000000;False;False;False
3004281756;000095.000000.000016.000025.000000.000000;False;False;False
Funciona no Parque Jardim Belmonte;000095.000000.000018.000053.000001.000000;False;False;False
Funciona no Ginásio Poliesportivo Jardim Vitória - SMEL;000095.000000.000018.000049.000001.000000;False;False;False
3004237424;000095.000000.000016.000048.000000.000000;False;False;False
A CONCESSIONARIA ASSUMIU - 3000332159;000095.000000.000016.000049.000000.000000;False;False;False
Funciona em imóvel que é cedido pela ASSOCIAÇÃO BENEFICENTE DE DESENVOLVIMENTO DOS BAIRROS DE BELO HORIZONTE – ASBDB - BH;000095.000000.000023.000040.000001.000000;False;False;False
3011836494;000095.000000.000017.000040.000001.000000;False;False;False
3004947601;000095.000000.000018.000055.000000.000000;False;False;False
Espaço cedido;000095.000000.000016.000067.000000.000000;False;False;False
Funciona no espaço próprio SMSA;000095.000000.000018.000046.000001.000000;False;False;False
3006543811;000095.000000.000020.000048.000001.000000;False;False;False
3015575342;000095.000000.000015.000051.000000.000000;True;False;False
3001940375;000095.000000.000021.000036.000000.000000;False;False;False
3003303210;000095.000000.000021.000039.000000.000000;False;False;False
3003302736;000095.000000.000016.000066.000000.000000;True;False;False
Funciona no CRAS - Imovel proprio;000095.000000.000022.000041.000001.000000;False;False;False
3004084592;000095.000000.000016.000054.000000.000000;False;False;False
Funciona dentro do Parque;000095.000000.000023.000044.000001.000000;False;False;False
Área de Lazer do Jardim Leblon;000095.000000.000023.000044.000001.000000;False;False;False
Funciona dentro da quadra CEAL - Casa Espirita Andres Luis;000095.000000.000017.000046.000001.000000;False;False;False
3003303792;000095.000000.000023.000045.000000.000000;False;False;False
Funciona dentro de uma quadra;000095.000000.000017.000039.000001.000000;False;False;False
3012422820;000095.000000.000023.000048.000001.000000;False;False;False
Funciona no Hospital Risoleta Neves;000095.000000.000023.000053.000001.000000;False;False;False
Funciona em uma praça;000095.000000.000017.000043.000001.000000;False;False;False
3003303196;000095.000000.000021.000041.000000.000000;False;False;False
Funciona dentro do centro cultural São Geraldo;000095.000000.000017.000049.000001.000000;False;False;False
3006135566;000095.000000.000017.000034.000000.000000;False;False;False
Funciona no antigo imóvel do CS Santa Mônica e divide o espaço com o Cersam Venda Nova - imóvel próprio;000095.000000.000023.000052.000001.000000;False;False;False
3003376970;000095.000000.000017.000032.000000.000000;False;False;False
3005727161;000095.000000.000017.000022.000000.000000;False;False;False
3000351256;000095.000000.000016.000055.000000.000000;False;False;False
3015323925;000095.000000.000016.000056.000000.000000;True;False;False
3002510105;000095.000000.000016.000057.000000.000000;False;False;False
Funciona dentro da quadra de esportes da Educação;000095.000000.000020.000053.000001.000000;False;False;False
3005887937;000095.000000.000017.000039.000000.000000;False;False;False
Funciona em espaço cedido pela Associação Comunitária;000095.000000.000023.000054.000001.000000;False;False;False
3003303781;000095.000000.000023.000029.000000.000000;False;False;False
Funciona em imóvel locado, que está em processo judicial.;000095.000000.000023.000035.000000.000000;False;False;False
3009013264;000095.000000.000023.000022.000000.000000;False;False;False
3004030757;000095.000000.000023.000037.000000.000000;False;False;False
3004060286;000095.000000.000023.000037.000000.000000;False;False;False
3014262342;000095.000000.000017.000040.000000.000000;False;False;False
Funciona no antigo imóvel do CS Mantiqueira - imóvel próprio;000095.000000.000023.000055.000000.000000;False;False;False
Funciona em imóvel próprio;000095.000000.000023.000027.000000.000000;False;False;False
Imovel proprio;000095.000000.000018.000000.000000.000000;False;False;False
3003303737;000095.000000.000023.000025.000000.000000;False;False;False
Funciona em imóvel locado.;000095.000000.000023.000056.000000.000000;False;False;False
3001582713;000095.000000.000023.000038.000000.000000;False;False;False
3005290933;000095.000000.000023.000038.000000.000000;False;False;False
3007079635;000095.000000.000023.000039.000000.000000;False;False;False
3015566805;000095.000000.000023.000040.000000.000000;False;False;False
3014293734;000095.000000.000023.000041.000000.000000;False;False;False
3014535068;000095.000000.000023.000042.000000.000000;False;False;False
3007526394;000095.000000.000023.000043.000000.000000;False;False;False
3015030413;000095.000000.000017.000041.000000.000000;True;False;False
3013689266;000095.000000.000020.000040.000000.000000;False;False;False
3015082171;000095.000000.000017.000042.000000.000000;False;False;False
3007100283;000095.000000.000017.000043.000000.000000;False;False;False
3014646939;000095.000000.000017.000044.000000.000000;False;False;False
3004489318;000095.000000.000017.000045.000000.000000;False;False;False
3003303832;000095.000000.000020.000038.000000.000000;False;False;False
3002512546;000095.000000.000017.000046.000000.000000;False;False;False
3007585123;000095.000000.000017.000047.000000.000000;False;False;False
3007597138;000095.000000.000017.000048.000000.000000;False;False;False
3003303709;000095.000000.000018.000057.000001.000000;False;False;False
3011348685;000095.000000.000017.000049.000000.000000;False;False;False
Funciona no CRAS Arthur de Sá;000095.000000.000018.000048.000001.000000;False;False;False
3014268531;000095.000000.000015.000052.000000.000000;False;False;False
3010244717;000095.000000.000015.000054.000000.000000;False;False;False
3003871523;000095.000000.000015.000055.000000.000000;False;False;False
Funciona dentro da Faculdade Unifenas;000095.000000.000020.000025.000000.000000;False;False;False
3003391462;000095.000000.000015.000056.000000.000000;False;False;False
3014338050;000095.000000.000020.000041.000000.000000;True;False;False
3004760603;000095.000000.000015.000057.000000.000000;False;False;False
3011254469;000095.000000.000015.000058.000000.000000;False;False;False
