Identificador;Codigo de Lotacao;Registro a Vincular;Unidade Encontrada;Conta Vinculada
Y25S1428366;000042.000002.000006.000002.000000.000000;False;False;False
125072473;000042.000002.000012.000004.000000.000000;False;False;False
A22G0220837;000042.000002.000012.000004.000000.000000;False;False;False
165325186;000042.000002.000012.000004.000000.000000;False;False;False
Y21S0553678;000042.000002.000012.000004.000000.000000;True;False;False
14839296;000042.000002.000006.000004.000000.000000;False;False;False
Y22S0297934;000042.000002.000006.000004.000000.000000;False;False;False
Condomínio;000042.000002.000007.000000.000000.000000;False;False;False
117290238;000042.000002.000007.000003.000000.000000;False;False;False
A15L0071742;000042.000002.000007.000003.000000.000000;False;False;False
18269176;000042.000002.000007.000004.000000.000000;False;False;False
A22G0231137;000042.000002.000007.000004.000000.000000;False;False;False
110316797;000042.000002.000007.000002.000000.000000;False;False;False
Y21G0456097;000042.000002.000007.000002.000000.000000;False;False;False
24611921;000042.000002.000009.000002.000000.000000;False;False;False
Y23G1086553;000042.000002.000009.000002.000000.000000;False;False;False
125279281;000042.000002.000009.000003.000000.000000;False;False;False
A22G0210726;000042.000002.000009.000003.000000.000000;False;False;False
111425361;000042.000002.000009.000004.000000.000000;False;False;False
A22G0200866;000042.000002.000009.000004.000000.000000;False;False;False
149255586;000042.000002.000009.000005.000000.000000;False;False;False
Y21G0704840;000042.000002.000009.000005.000000.000000;True;False;False
1039253;000042.000002.000010.000002.000000.000000;False;False;False
A22G0221398;000042.000002.000010.000002.000000.000000;False;False;False
139637681;000042.000002.000010.000003.000000.000000;False;False;False
B13S0025528;000042.000002.000010.000003.000000.000000;False;False;False
1264966;000042.000002.000010.000004.000000.000000;False;False;False
Y21G1025535;000042.000002.000010.000004.000000.000000;False;False;False
1150073;000042.000002.000010.000000.000000.000000;False;False;False
A24H0001873;000042.000002.000010.000000.000000.000000;False;False;False
123775442;000042.000002.000011.000002.000000.000000;False;False;False
A19N0414746;000042.000002.000011.000002.000000.000000;False;False;False
113906293;000042.000002.000011.000003.000000.000000;False;False;False
A13S0462311;000042.000002.000011.000003.000000.000000;False;False;False
161263135;000042.000002.000011.000006.000000.000000;False;False;False
Y20G0843794;000042.000002.000011.000006.000000.000000;False;False;False
17348587;000042.000002.000011.000001.000000.000000;False;False;False
A15L0052005;000042.000002.000011.000001.000000.000000;False;False;False
116379766;000042.000002.000012.000002.000000.000000;False;False;False
Y25S1216701;000042.000002.000012.000002.000000.000000;False;False;False
20297041;000042.000002.000012.000003.000000.000000;False;False;False
A13S0221026;000042.000002.000012.000003.000000.000000;False;False;False
115812474;000042.000002.000012.000006.000000.000000;False;False;False
Y17S0094641;000042.000002.000012.000006.000000.000000;False;False;False
116735643;000042.000002.000012.000005.000000.000000;False;False;False
A25H0093913;000042.000002.000012.000005.000000.000000;False;False;False
2024594;000042.000002.000013.000002.000000.000000;False;False;False
Y24S0173294;000042.000002.000013.000002.000000.000000;False;False;False
2123878;000042.000002.000013.000002.000000.000000;False;False;False
Y24S1271148;000042.000002.000013.000002.000000.000000;False;False;False
106588192;000042.000002.000013.000003.000000.000000;False;False;False
Y21G0457686;000042.000002.000013.000003.000000.000000;False;False;False
13459694;000042.000002.000013.000004.000000.000000;False;False;False
A13S0461757;000042.000002.000013.000004.000000.000000;False;False;False
114864071;000042.000002.000013.000006.000000.000000;False;False;False
Y25L7075269;000042.000002.000013.000006.000000.000000;False;False;False
19986459;000042.000002.000013.000007.000000.000000;False;False;False
Y23G1347330;000042.000002.000013.000007.000000.000000;True;False;False
114446113;000042.000002.000014.000002.000000.000000;False;False;False
